Course Number,Course Name,Days,Time,Start/End Date,Location,County,Course Type,Course Description,Status of Section,Book Link
ACC  240  02,Intermediate Accounting I,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ACC 240 Intermediate Accounting I 3 Credits (3 Lecture 0 Lab 0 Shop) 3 hrs/wk (3 Hrs. Lecture) *15 wks This course begins with a comprehensive review of accounting principles, including the conceptual framework of accounting as prescribed by the Financial Standards Board (FASB) and Generally Accepted Accounting Principles (GAAP).  Other topics include concepts of future and present value, theory underlying revenue recognition practices, internal control procedures for cash, basic alternative inventory valuation methods, as well as recording of investment securities.  Prerequisite: ACC 122  with a grade of C or higher.",OPEN,Link
ACC  244  01,Accounting Software Applications,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ACC 244 Accounting Software Applications 3 Credits (3 Lecture 0 Lab 0 Shop) 3 hrs/wk (3 Hrs. Lecture) *15 wks This course utilizes an integrated accounting software package to demonstrate the application of accounting theory. This course includes evaluation of common software characteristics and features and emphasizes the importance of internal controls for computerized accounting systems. The student will become proficient in setting up new company files, creating charts of accounts for different business types, managing general ledger, accounts payable, accounts receivable, payroll, inventory, job costing, importing and exporting of files, fixed assets and depreciation, and other advanced topics. Prerequisite: ACC 120",FULL,Link
ACC  254  01,Federal Taxation,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ACC 254 Federal Taxation 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course examines taxation for individuals, including Schedule C, which is filed for sole proprietorship businesses. Topics include filing requirements, gross income, exclusions, deductions, exemptions, tax credits, and tax research. A general overview of tax consequences for different forms of business entities such as corporations, partnerships, limited liability companies, and S-Corporations are included. Students will use tax software to complete tax returns.  Prerequisite: ACC 120",OPEN,Link
ACC  258  01,Nonprofit Accounting,Tue Thur,9:30 AM - 10:55 AM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ACC 258 Nonprofit Accounting 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course introduces students to the specialized accounting principles applicable to federal, state, and local governments and other nonprofit organizations, with an emphasis on fund accounting principles used in the recording of assets, liabilities, equity, revenues, and expenditures. It also covers the analysis and interpretation of financial statements for governmental and nonprofit entities. Prerequisite: ACC 120",OPEN,Link
ACC  258  02,Nonprofit Accounting,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ACC 258 Nonprofit Accounting 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course introduces students to the specialized accounting principles applicable to federal, state, and local governments and other nonprofit organizations, with an emphasis on fund accounting principles used in the recording of assets, liabilities, equity, revenues, and expenditures. It also covers the analysis and interpretation of financial statements for governmental and nonprofit entities. Prerequisite: ACC 120",OPEN,Link
ANT  100  01,Introduction to Anthropology,,-,09/02/2025 - 10/24/2025,Online,Online,Online,"ANT100 Introduction to Anthropology 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course introduces students to the field of anthropology.  Subdisciplines such as cultural anthropology, linguistic anthropology, archaeology and biological (physical) anthropology will be discussed.  Utilizing a broad, holistic approach, this course will explore the interconnections and interdependence of all aspects of the human experience.",OPEN,Link
ANT  100  02,Introduction to Anthropology,,-,10/27/2025 - 12/19/2025,Online,Online,Online,"ANT100 Introduction to Anthropology 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course introduces students to the field of anthropology.  Subdisciplines such as cultural anthropology, linguistic anthropology, archaeology and biological (physical) anthropology will be discussed.  Utilizing a broad, holistic approach, this course will explore the interconnections and interdependence of all aspects of the human experience.",OPEN,Link
ARC  100  01,Architecture Seminar,Mon,9:30 AM - 10:25 AM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ARC 100  Architecture Seminar 1 Credits (1 Lecture, 0 Lab, 0 Shop) 1 hr./wk. (1 hr. lecture) *15 wks. This course explores the variety of careers available in the Architecture field. Topics include the required education to be a successful professional in Architecture-related occupations as well as the skills needed to succeed in college, career, and life. Students must earn a grade of C or higher to continue to other core courses.",OPEN,Link
ARC  101  01,Fundamentals of Architecture,Mon Wed,12:00 PM - 3:25 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ARC 101 Fundamentals of Architecture 4 Credits (1 Lecture, 3 Lab, 0 Shop) 7 hr./wk. (1  hr. lecture, 6 hrs. lab) *15 wks. Students will be introduced to the fundamental principles of design, design vocabulary, and design process. The studio projects include two- and three-dimensional abstract exercises with an emphasis on graphic communication and model making. Exercises are aimed at developing an understanding of the issues, elements, and processes of environmental design. Co-requisites: ARC 100 and ARC 111.",OPEN,Link
ARC  101  01,Fundamentals of Architecture,Mon Wed,12:00 PM - 3:25 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ARC 101 Fundamentals of Architecture 4 Credits (1 Lecture, 3 Lab, 0 Shop) 7 hr./wk. (1  hr. lecture, 6 hrs. lab) *15 wks. Students will be introduced to the fundamental principles of design, design vocabulary, and design process. The studio projects include two- and three-dimensional abstract exercises with an emphasis on graphic communication and model making. Exercises are aimed at developing an understanding of the issues, elements, and processes of environmental design. Co-requisites: ARC 100 and ARC 111.",OPEN,Link
ARC  111  01,Architectural Graphics & Digital,Mon Wed,10:30 AM - 11:55 AM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ARC 111  Architectural Graphics and Digital Design 3 Credits (3 Lecture, 0 Lab, 0 Shop) 3 hrs./wk. (3 hrs. lecture) *15 wks. This course will study the various visual communications methods most commonly used in the architectural profession. Techniques will include both color and black/white, a variety of perspective systems, shade/shadow, exploded views, pencil-and-pen work, and a variety of different media. Assignments are designed to enhance the student's ability to understand and represent architectural forms and spaces. Co-requisites: ARC 100 and ARC 101.",OPEN,Link
ARC  111  01,Architectural Graphics & Digital,Mon Wed,10:30 AM - 11:55 AM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ARC 111  Architectural Graphics and Digital Design 3 Credits (3 Lecture, 0 Lab, 0 Shop) 3 hrs./wk. (3 hrs. lecture) *15 wks. This course will study the various visual communications methods most commonly used in the architectural profession. Techniques will include both color and black/white, a variety of perspective systems, shade/shadow, exploded views, pencil-and-pen work, and a variety of different media. Assignments are designed to enhance the student's ability to understand and represent architectural forms and spaces. Co-requisites: ARC 100 and ARC 101.",OPEN,Link
ARC  154  01,Site Design,Wed,6:00 PM - 8:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ARC 154 Site Design 3 Credits (1 Lecture, 2 Lab, 0 Shop) 4 hrs./wk. (1 hr. lecture, 2 hrs. lab) *15 wks. This course is an introduction to site design with associated access and roads/traveled ways. Students will integrate theory of architecture with functional (user needs, building, topography, utilities, drainage, screening/landscaping, vehicle/pedestrian/access design parameters, and traffic controls), environmental (sun, wind, water, climate, sustainability), and regulatory (ordinance and codes) constrains toward the development of design parameters in creating various residential and commercial sites. Students will expand their use of CAD related software, and creation of models and methods of presentation to create subject-related industry standard documents. Prerequisites: ARC 111 with a grade of C or higher.",OPEN,Link
ARC  200  01,Architecture and Design Theory,Mon Wed,3:30 PM - 4:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ARC 200 Architecture and Design Theory 3 Credits (3 Lecture, 0 Lab, 0 Shop) 3 hrs./wk. (3 hrs. lecture) *15 wks. This course explores cultural and philosophical considerations that affect current practices in the design of the built environment, with emphasis on how these issues impact the quality of life. Students are familiarized with the fundamental vocabulary employed to describe architectural ideas. The course covers how to analyze a building visually, and introduces an understanding of how the built environment is generated and transformed.",OPEN,Link
ARC  201  01,Architecture Design Studio II,Tue Thur,11:00 AM - 2:25 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ARC 201 Architecture Design Studio II 4 Credits (1 Lecture, 3 Lab, 0 Shop) 7 hrs./wk. (1 hr. lecture, 6 hrs. lab) *15 wks. This course will study the various phases of the building delivery and design process. The student will use an organized approach in the investigation and development of design solutions for a project of moderate scale and complexity. Students will complete studies of built form ordering principles, mass/void relationships, scale and proportion, color, texture, contextual relationships, meaning/imagery, and building technology (awareness of structural organization, service networks, construction processes, and materials), and how these concepts interact with architectural design process. Students will also research aspects of human behavior and learn how it plays a role within design. Prerequisites: ARC 102, ARC 109, and CAD 201, all with a grade of C or higher.",OPEN,Link
ARC  201  01,Architecture Design Studio II,Tue Thur,11:00 AM - 12:25 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ARC 201 Architecture Design Studio II 4 Credits (1 Lecture, 3 Lab, 0 Shop) 7 hrs./wk. (1 hr. lecture, 6 hrs. lab) *15 wks. This course will study the various phases of the building delivery and design process. The student will use an organized approach in the investigation and development of design solutions for a project of moderate scale and complexity. Students will complete studies of built form ordering principles, mass/void relationships, scale and proportion, color, texture, contextual relationships, meaning/imagery, and building technology (awareness of structural organization, service networks, construction processes, and materials), and how these concepts interact with architectural design process. Students will also research aspects of human behavior and learn how it plays a role within design. Prerequisites: ARC 102, ARC 109, and CAD 201, all with a grade of C or higher.",OPEN,Link
ARC  269  01,Sustainable Design,Tue Thur,9:30 AM - 10:55 AM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ARC 269 Sustainable Design 3 Credits (3 Lecture, 0 Lab, 0 Shop) 3 hrs./wk. (3 hrs. lecture) *15 wks. The focus of this course is the exploration and study of sustainable design concepts and materials in architecture. Students will gain knowledge of sustainable design and how it is related to integrated design, core and envelope design, indoor environment, and materials and products. Implementation of concepts will be explored through project-based learning. Prerequisites: ARC 101 and ARC 111 with a grade of C or higher.",OPEN,Link
ART  101  01,2-D Design,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ART 101 Introduction to 2-D Design 3 Credits ( 1 Lecture 2 Studio 0 Shop) 5 Hrs/Wk (1 Hr. Lecture 4 Hrs. Studio) *15 wks ART 101 Introduction to 2-D Design 3 Credits ( 1 Lecture 2 Studio 0 Shop) 5 Hrs/Wk (1 Hr. Lecture 4 Hrs. Studio) *15 wks This introductory course deals with the basics of design on a two dimensional surface: line, shape, space, color, texture, form and value. Emphasis is placed on general design concepts and vocabulary, conceptual thinking, design process, application, and observational skills. This course is divided into a series of projects in several media, dealing with specific design principles and elements, and employs workshops and outside assignments to help students create and evaluate those projects. No previous art experience necessary.",OPEN,Link
ART  102  01,Principles of 3-D Design,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ART 102 Principles of 3-D Design 3 Credits ( 1 Lecture 2 Studio 0 Shop) 5 Hrs/Wk (1 Hr. Lecture 4 Hrs. Studio) *15 wks This course will expand the knowledge gained in ART 101 (2-D Design) and will emphasize theoretical and practical problem solving experience relating to the elements of art and the principles of design in the context of 3-D form creation. The course employs lecture, inclass work shops, and outside assignments to help students create and evaluate a variety of problem solving 3-D projects that involve mass, volume, closed and open form, plane, texture, multiples, and site-specific installation.",OPEN,Link
ART  103  01,Drawing I,Mon Wed,11:00 AM - 12:25 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ART 103 3 credits (1 lecture 2 studio 0 Shop) 5Hrs/Wk (1 Hr. Lecture 4 Hrs Studio) *15 weeks Drawing from nature, still life and the model with an emphasis on accurate observation and recording. The role of drawing in visual communication and creative exploration will also be emphasized.",OPEN,Link
ART  103  02,Drawing I,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ART 103 3 credits (1 lecture 2 studio 0 Shop) 5Hrs/Wk (1 Hr. Lecture 4 Hrs Studio) *15 weeks Drawing from nature, still life and the model with an emphasis on accurate observation and recording. The role of drawing in visual communication and creative exploration will also be emphasized.",OPEN,Link
ART  103  03,Drawing I,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ART 103 3 credits (1 lecture 2 studio 0 Shop) 5Hrs/Wk (1 Hr. Lecture 4 Hrs Studio) *15 weeks Drawing from nature, still life and the model with an emphasis on accurate observation and recording. The role of drawing in visual communication and creative exploration will also be emphasized.",OPEN,Link
ART  103  04,Drawing I,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ART 103 3 credits (1 lecture 2 studio 0 Shop) 5Hrs/Wk (1 Hr. Lecture 4 Hrs Studio) *15 weeks Drawing from nature, still life and the model with an emphasis on accurate observation and recording. The role of drawing in visual communication and creative exploration will also be emphasized.",OPEN,Link
ART  110  01,"Art History, Renaissance to Contemp",,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ART 110: Art History, Renaissance to Contemporary 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course offers an overview of major artists, artistic movements, periods, techniques, and styles in Europe and North America. Students will participate in the course as art historians and learn to recognize key styles, themes, and issues. Students will also explore how the arts are influenced by and relate to the social, historical, cultural, and political events. Additionally, students will develop their analytical thinking and writing skills.  The material will be presented through slides, lectures, discussions, and readings.   Pre-requisite: Meet prerequisites for or have completed ENG 101 or Department Chair approval.",OPEN,Link
ART  150  01,Approaches to Art,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"ART 150 Approaches to Art 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hr. Lecture) *15 wks The overall purpose of this course is to provide the student with a basic understanding of the visual arts.  The course deals with the nature of art, the evaluation of art, and the principles, processes, and materials of art.  Specifically, we examine the formal elements of design and look at a wide variety of both two and three dimensional art to learn about the process and tools involved in art creation.",OPEN,Link
ART  296  01,ST: Drawing II,Mon Wed,2:00 PM - 4:25 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ART 296 Special Topics in Art: Drawing II 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course offers an expansion on Drawing I with higher expectations in representation as well as mark-making freedom. Drawing from nature, still life and the model with an emphasis on accurate observation and recording. The role of drawing in visual communication and creative exploration will also be emphasized. This course will offer the student the opportunities to make more substantial investigations in their own interests and voice. This course will also introduce a wider spectrum of media to work with, as well as basic color theory.",OPEN,Link
ASL  101  01,American Sign Language,Tue Thur,2:00 PM - 3:25 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"ASL 101 American Sign Language I 3 Credits (3 Lecture 0 Lab 0 Shop) 3 hrs/wk (3 Hrs. Lecture) *15 wks This course introduces students to American Sign Language (ASL), including an examination of the cultural values and rules of behavior of the Deaf community in the United States. In developing conversation al competence in ASL, the course covers the following: sign vocabulary, finger spelling, manual numbering system, basic sentence patterns of ASL, correct use of idioms, receptive and expressive language activities; and Deaf/deaf culture in North America. Prerequisite:  Fluency in English strongly recommended.",OPEN,Link
AST  101  01,Introductory Astronomy,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"AST 101 Astronomy 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course will cover the fundamentals of astronomy.  Topics covered will include the solar system and Earth’s place in it, stars, galaxies, and concepts of the universe. Also covered will be telescopes, spacecraft, and other tools used to acquire knowledge of distant objects. There is no math prerequisite, however math concepts will be used in describing models, and students will be expected to solve problems using arithmetic and simple algebra concepts. Co-requisite:  AST 102.",FULL,Link
AST  101  02,Introductory Astronomy,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"AST 101 Astronomy 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course will cover the fundamentals of astronomy.  Topics covered will include the solar system and Earth’s place in it, stars, galaxies, and concepts of the universe. Also covered will be telescopes, spacecraft, and other tools used to acquire knowledge of distant objects. There is no math prerequisite, however math concepts will be used in describing models, and students will be expected to solve problems using arithmetic and simple algebra concepts. Co-requisite:  AST 102.",OPEN,Link
AST  102  01,Introductory Astronomy Lab,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"AST 102 Introduction Astronomy Lab 1 Credit (0 Lecture 1 Lab 0 clinical) 2 Hrs/Wk (2 Hrs. Lab) *15 wks This course is a hands-on tour of the visible universe through computer simulated and experimental exploration. Students will encounter objects located in the solar system, stars filling the Milky Way, and objects located much further away in the far reaches of space. Students will be expected to solve problems using arithmetic and simple algebra concepts. Co-requisite: AST 101.",FULL,Link
AST  102  02,Introductory Astronomy Lab,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"AST 102 Introduction Astronomy Lab 1 Credit (0 Lecture 1 Lab 0 clinical) 2 Hrs/Wk (2 Hrs. Lab) *15 wks This course is a hands-on tour of the visible universe through computer simulated and experimental exploration. Students will encounter objects located in the solar system, stars filling the Milky Way, and objects located much further away in the far reaches of space. Students will be expected to solve problems using arithmetic and simple algebra concepts. Co-requisite: AST 101.",OPEN,Link
AUT  100  01,Introduction to Automotive,Tue Thur,8:00 AM - 4:25 PM,09/02/2025 - 09/12/2025,Auburn Campus,Androscoggin,Classroom,"AUT 100 Intro to Automotive Technology 1 Credit (.25 Lecture 0 Lab .75 shop) 19 Hrs/Wk(2 Hr. Lecture 17 Hrs. Shop) *2 wks This is the first course of instruction for Automotive Technology students. The course deals with shop safety, tools and procedures related to automotive technology. Safety and health in the workplace along with a look at personal lifestyle will be discussed.  Hand tools, power tools, torch operation, battery boosting and charging will be covered.",OPEN,Link
AUT  100  01,Introduction to Automotive,Fri,9:00 AM - 11:55 AM,09/02/2025 - 09/12/2025,Auburn Campus,Androscoggin,Classroom,"AUT 100 Intro to Automotive Technology 1 Credit (.25 Lecture 0 Lab .75 shop) 19 Hrs/Wk(2 Hr. Lecture 17 Hrs. Shop) *2 wks This is the first course of instruction for Automotive Technology students. The course deals with shop safety, tools and procedures related to automotive technology. Safety and health in the workplace along with a look at personal lifestyle will be discussed.  Hand tools, power tools, torch operation, battery boosting and charging will be covered.",OPEN,Link
AUT  100  02,Introduction to Automotive,Tue Thur,8:00 AM - 4:25 PM,09/02/2025 - 09/12/2025,Auburn Campus,Androscoggin,Classroom,"AUT 100 Intro to Automotive Technology 1 Credit (.25 Lecture 0 Lab .75 shop) 19 Hrs/Wk(2 Hr. Lecture 17 Hrs. Shop) *2 wks This is the first course of instruction for Automotive Technology students. The course deals with shop safety, tools and procedures related to automotive technology. Safety and health in the workplace along with a look at personal lifestyle will be discussed.  Hand tools, power tools, torch operation, battery boosting and charging will be covered.",OPEN,Link
AUT  100  02,Introduction to Automotive,Fri,9:00 AM - 11:55 AM,09/02/2025 - 09/12/2025,Auburn Campus,Androscoggin,Classroom,"AUT 100 Intro to Automotive Technology 1 Credit (.25 Lecture 0 Lab .75 shop) 19 Hrs/Wk(2 Hr. Lecture 17 Hrs. Shop) *2 wks This is the first course of instruction for Automotive Technology students. The course deals with shop safety, tools and procedures related to automotive technology. Safety and health in the workplace along with a look at personal lifestyle will be discussed.  Hand tools, power tools, torch operation, battery boosting and charging will be covered.",OPEN,Link
AUT  110  01,Brakes I,Tue,8:00 AM - 4:25 PM,09/15/2025 - 10/24/2025,Auburn Campus,Androscoggin,Classroom,"AUT 110 Brakes 2 Credits (1 Lecture 1 Lab 0 Shop) 7.5 Hrs/Wk (2.5 Hr. Lecture,  5 Hrs. Lab)*6 wks Class may be offered as a six week course doubling the time in lecture and lab. This course teaches the theory of hydraulics, mechanical advantage and all types of brake systems with practical instructions in testing and servicing car and light truck brakes. Laws from the Maine State Inspection Manual pertaining to brakes are presented. Prerequisite: AUT 100.",OPEN,Link
AUT  110  01,Brakes I,Fri,9:00 AM - 10:25 AM,09/15/2025 - 10/24/2025,Auburn Campus,Androscoggin,Classroom,"AUT 110 Brakes 2 Credits (1 Lecture 1 Lab 0 Shop) 7.5 Hrs/Wk (2.5 Hr. Lecture,  5 Hrs. Lab)*6 wks Class may be offered as a six week course doubling the time in lecture and lab. This course teaches the theory of hydraulics, mechanical advantage and all types of brake systems with practical instructions in testing and servicing car and light truck brakes. Laws from the Maine State Inspection Manual pertaining to brakes are presented. Prerequisite: AUT 100.",OPEN,Link
AUT  110  02,Brakes I,Thur,8:00 AM - 4:25 PM,09/15/2025 - 10/24/2025,Auburn Campus,Androscoggin,Classroom,"AUT 110 Brakes 2 Credits (1 Lecture 1 Lab 0 Shop) 7.5 Hrs/Wk (2.5 Hr. Lecture,  5 Hrs. Lab)*6 wks Class may be offered as a six week course doubling the time in lecture and lab. This course teaches the theory of hydraulics, mechanical advantage and all types of brake systems with practical instructions in testing and servicing car and light truck brakes. Laws from the Maine State Inspection Manual pertaining to brakes are presented. Prerequisite: AUT 100.",OPEN,Link
AUT  110  02,Brakes I,Fri,10:30 AM - 11:55 AM,09/15/2025 - 10/24/2025,Auburn Campus,Androscoggin,Classroom,"AUT 110 Brakes 2 Credits (1 Lecture 1 Lab 0 Shop) 7.5 Hrs/Wk (2.5 Hr. Lecture,  5 Hrs. Lab)*6 wks Class may be offered as a six week course doubling the time in lecture and lab. This course teaches the theory of hydraulics, mechanical advantage and all types of brake systems with practical instructions in testing and servicing car and light truck brakes. Laws from the Maine State Inspection Manual pertaining to brakes are presented. Prerequisite: AUT 100.",OPEN,Link
